Plate,Datetime,Status
KBAA0101BAGK4,2025-07-29 17:26:48,Unauthorized
BAAG101AAGUA,2025-07-29 17:26:49,Unauthorized
KBAAG1G1EFMA,2025-07-29 17:26:49,Unauthorized
KBAAG1G1BAGMAT,2025-07-29 17:26:50,Unauthorized
KBAAG1O1,2025-07-29 17:26:51,Unauthorized
KBAAG1O1BEMAF,2025-07-29 17:26:51,Unauthorized
KBAAG1O1EEKAT,2025-07-29 17:26:52,Unauthorized
EBAA010I,2025-07-29 17:26:52,Unauthorized
BAA0101,2025-07-29 17:26:53,Unauthorized
BAAG101,2025-07-29 17:26:53,Unauthorized
EBAAG1O1,2025-07-29 17:26:54,Unauthorized
EBAAG101,2025-07-29 17:26:55,Unauthorized
BAA01O1,2025-07-29 17:26:56,Unauthorized
1BAA0101,2025-07-29 17:26:56,Unauthorized
BAAD1O1,2025-07-29 17:26:57,Unauthorized
EBAA01G1,2025-07-29 17:26:58,Unauthorized
KBAAG101EAEAA,2025-07-29 17:26:59,Unauthorized
BAA0101I4I,2025-07-29 17:27:01,Unauthorized
KBAA101,2025-07-29 17:27:02,Unauthorized
KBAA0101,2025-07-29 17:27:03,Unauthorized
BAAG1G1,2025-07-29 17:27:05,Unauthorized
BAAG1O1,2025-07-29 17:27:07,Unauthorized
58AAG101AAE,2025-07-29 17:27:13,Unauthorized
BAAG1G1A,2025-07-29 17:27:14,Unauthorized
KBAA0101BAAUA,2025-07-29 17:27:15,Unauthorized
BAAG1G1CD,2025-07-29 17:27:15,Unauthorized
5AAG101,2025-07-29 17:27:15,Unauthorized
KBAAG1G10414,2025-07-29 17:27:16,Unauthorized
KBAAG1O1BAGMA,2025-07-29 17:27:16,Unauthorized
BAAG1G1BAGVA,2025-07-29 17:27:17,Unauthorized
BBAAG101B4302,2025-07-29 17:27:17,Unauthorized
BAAG1G1BAUAT,2025-07-29 17:27:18,Unauthorized
BBAA01O1BAMAT,2025-07-29 17:27:19,Unauthorized
BBAA01O1BAGMA,2025-07-29 17:27:19,Unauthorized
KBAA0101BASMAT,2025-07-29 17:27:20,Unauthorized
BBAA01G1BACM44,2025-07-29 17:27:20,Unauthorized
BAA0101AGHAR,2025-07-29 17:27:21,Unauthorized
BAAO1O1846MUIAT,2025-07-29 17:27:21,Unauthorized
BAA0101BAGHET,2025-07-29 17:27:21,Unauthorized
KBAA01G1BAGUATM,2025-07-29 17:27:22,Unauthorized
1BAA0101,2025-07-29 17:27:22,Unauthorized
BAA0101,2025-07-29 17:27:23,Unauthorized
BBAA01GVEAAA,2025-07-29 17:27:24,Unauthorized
AA0101,2025-07-29 17:27:25,Unauthorized
BAA0101BAGMATL,2025-07-29 17:27:26,Unauthorized
EBAAG101BA044,2025-07-29 17:27:26,Unauthorized
BAAG101BAGMATI,2025-07-29 17:27:27,Unauthorized
BAA0101BAGHATI,2025-07-29 17:27:27,Unauthorized
EBAA0101BAGHATI,2025-07-29 17:27:28,Unauthorized
EBAA0101BAGMATI,2025-07-29 17:27:28,Unauthorized
BAA0101BAGMATI,2025-07-29 17:27:28,Authorized
BAA0101AGMATI,2025-07-29 17:27:29,Unauthorized
BAAG101BAGHATI,2025-07-29 17:27:29,Unauthorized
BAAG1O1BAGMATI,2025-07-29 17:27:30,Unauthorized
BAA01O1BAGMATI,2025-07-29 17:27:30,Unauthorized
KBAA0101BAGMATI,2025-07-29 17:27:31,Unauthorized
KBAAG1O1B4GM4TI,2025-07-29 17:27:32,Unauthorized
BAA01O1EAGMATI,2025-07-29 17:27:32,Unauthorized
BAA01O1BAGMAR,2025-07-29 17:27:33,Unauthorized
BAA01O1BAGMAT,2025-07-29 17:27:33,Unauthorized
BBAA0101BAGMATI,2025-07-29 17:27:34,Unauthorized
BAA01D1BAGMATI,2025-07-29 17:27:34,Unauthorized
BAAG1D13,2025-07-29 17:27:36,Unauthorized
BAA1O1BAGMATI,2025-07-29 17:27:36,Unauthorized
BAA01O134G447,2025-07-29 17:27:37,Unauthorized
BAA01013ACU4T,2025-07-29 17:27:38,Unauthorized
BAA0101BAGMAT,2025-07-29 17:27:38,Unauthorized
6BAA0101BAGMATI,2025-07-29 17:27:39,Unauthorized
